Kod, Miasto
10636,Hrud
10642,Hola
10659,Husinka
10665,Janówka
10671,Jaźwiny
10694,Julków
10702,Kaliłów
10725,Kamieniczne
10731,Krzymowskie
10754,Lisy
10760,Łukowce
10777,Michałówka
10783,Młyniec
10790,Sławacinek Nowy
10808,Ogrodniki
10814,Ortel Książęcy Pierwszy
10820,Ortel Książęcy Drugi
10837,Perkowice
10843,Pojelce
10850,Porosiuki
10866,Pólko
10872,Rakowiska
10903,Roskosz
10910,Sitnik
10932,Sławacinek Stary
10949,Styrzyniec
10955,Surmacze
10961,Swory
10978,Sycyna
10990,Terebela
11009,Wilczyn
11021,Woroniec
11044,Franopol
11050,Woskrzenice Duże
11073,Woskrzenice Małe
11096,Wólka Plebańska
11110,Zabłocie
11133,Zacisze
11140,Bełcząc
11179,Czemierniki
11200,Lichty
11216,Niewęgłosz
11268,Skoki
11274,Stoczek
11280,Stójka
11297,Wygnanów
11305,Bednarzówka
11328,Białka
11334,Chmielów
11340,Dębowa Kłoda
11357,Hanów
11363,Kodeniec
11386,Korona
11392,Krzywowierzba-Kolonia
11400,Leitnie
11417,Lubiczyn
11423,Makoszka
11446,Marianówka
11469,Nietiahy
11475,Pachole
11481,Plebania Wola
11506,Stępków
11512,Uhnin
11564,Wyhalew
11570,Zadębie
11587,Żmiarki
11593,Aleksandrówka
11601,Danówka
11618,Dołha
11653,Drelów
11682,Kwasówka
11699,Leszczanka
11720,Łózki
11771,Pereszczówka
11802,Przechodzisko
11825,Sokule
11831,Strzyżówka
11848,Szachy
11854,Szóstka
11877,Witoroż
11914,Worsy
11920,Wólka Łózecka
11937,Zahajki
11989,Żerocin
12049,Dańce
12090,Dołhobrody
12180,Hanna
12256,Holeszów
12291,Holeszów
12316,Janówka
12322,Konstantyn
12339,Kuzawka
12345,Porchuciny
12351,Lack
12374,Nowy Holeszów
12405,Pawluki
12434,Zaświatycze
12463,Bachorza
12470,Dziadkowskie
12486,Dziadkowskie-Folwark
12492,Felin
12500,Harachwosty
12517,Huszlew
12523,Juniewicze
12530,Kopce
12552,Kownaty
12569,Krasna
12575,Krasna-Kolonia
12581,Krzywośnity
12606,Liwki Szlacheckie
12612,Liwki Włościańskie
12629,Ławy
12635,Makarówka
12641,Mostów
12664,Nieznanki
12670,Sewerynów
12687,Siliwonki
12693,Waśkowólka
12701,Władysławów
12718,Wygoda
12724,Zienie
12730,Żurawlówka
12747,Wantopol
12753,Antopol
12760,Dawidy
12776,Gęś
12782,Holendernia
12799,Jabłoń
12813,Kalinka
12836,Kolano
12842,Kolano-Kolonia
12865,Kudry
12871,Łubno
12888,Paszenki
12894,Puchowa Góra
12902,Błonie
12925,Bubel-Granna
12948,Bubel-Łukowiska
12954,Jakówki
12960,Janów Podlaski
12977,Kajetanka
12990,Klonownica Mała
13014,Klonownica-Plac
13037,Nowy Pawłów
13043,Ostrów
13050,Peredyło
13066,Polinów
13072,Romanów
13089,Stare Buczyce
13095,Stary Bubel
13103,Stary Pawłów
13110,Werchliś
13126,Woroblin
13132,Wygoda
13149,Brzozowica Duża
13161,Brzozowica Mała
13178,Grabowiec
13244,Jurki
13250,Kąkolewnica Południowa
13267,Kąkolewnica Północna
13273,Kąkolewnica Wschodnia
13280,Lipniaki
13296,Miłolas
13310,Mościska
